region,top10_appearances,total_appearances,pct_from_top10
Japan,89272.0,356774.0,25.02
Iceland,44812.0,212123.0,21.13
Singapore,74142.0,358388.0,20.69
New Zealand,71013.0,358387.0,19.81
United States,71733.0,364184.0,19.7
Philippines,65540.0,358390.0,18.29
Hong Kong,65371.0,358388.0,18.24
Estonia,19231.0,108007.0,17.81
Brazil,64571.0,364516.0,17.71
Malaysia,61984.0,358390.0,17.3
France,61933.0,358390.0,17.28
Canada,62316.0,361390.0,17.24
Honduras,48664.0,286269.0,17.0
Ireland,60292.0,358390.0,16.82
Australia,60869.0,362189.0,16.81
Global,60220.0,362182.0,16.63
Latvia,24708.0,151017.0,16.36
Taiwan,58490.0,358187.0,16.33
Dominican Republic,54810.0,342318.0,16.01
Thailand,49238.0,307759.0,16.0
Panama,52145.0,327604.0,15.92
Mexico,57025.0,358343.0,15.91
Lithuania,24080.0,153008.0,15.74
Slovakia,41888.0,267614.0,15.65
United Kingdom,55967.0,359790.0,15.56
Indonesia,55678.0,358390.0,15.54
Guatemala,54703.0,352569.0,15.52
Greece,43386.0,281459.0,15.41
El Salvador,46287.0,302106.0,15.32
Costa Rica,54234.0,358384.0,15.13
Italy,53697.0,358384.0,14.98
Bolivia,46442.0,313849.0,14.8
Turkey,51644.0,358190.0,14.42
Portugal,51529.0,357958.0,14.4
Hungary,49575.0,344170.0,14.4
Czech Republic,51232.0,357276.0,14.34
Denmark,49625.0,358389.0,13.85
Paraguay,46700.0,337342.0,13.84
Poland,49588.0,358189.0,13.84
Sweden,49222.0,358389.0,13.73
Colombia,49049.0,358384.0,13.69
Chile,47882.0,358185.0,13.37
Ecuador,47772.0,358384.0,13.33
Belgium,46771.0,358390.0,13.05
Peru,46437.0,358182.0,12.96
Finland,44166.0,358192.0,12.33
Norway,43801.0,358186.0,12.23
Argentina,41956.0,364385.0,11.51
Uruguay,39686.0,351094.0,11.3
Switzerland,38946.0,358716.0,10.86
Spain,38821.0,358355.0,10.83
Germany,38001.0,357424.0,10.63
Austria,38307.0,363925.0,10.53
Netherlands,34320.0,357982.0,9.59
