region,top_artist,top_artist_appearances,country_total,top_artist_share_pct
Honduras,Bad Bunny,16182,286269.0,5.65
Dominican Republic,Bad Bunny,17773,342318.0,5.19
El Salvador,Bad Bunny,13564,302106.0,4.49
New Zealand,SIX60,14405,358387.0,4.02
Iceland,Hafdís Huld,8324,212123.0,3.92
Panama,Bad Bunny,12796,327604.0,3.91
Australia,Ed Sheeran,13194,362189.0,3.64
Singapore,Ed Sheeran,12967,358388.0,3.62
France,Ninho,12785,358390.0,3.57
Guatemala,Bad Bunny,12544,352569.0,3.56
Japan,Official HIGE DANdism,11866,356774.0,3.33
Chile,Bad Bunny,11926,358185.0,3.33
United Kingdom,Ed Sheeran,11869,359790.0,3.3
Ireland,Ed Sheeran,11686,358390.0,3.26
Estonia,nublu,3424,108007.0,3.17
Paraguay,Bad Bunny,10369,337342.0,3.07
Brazil,Marília Mendonça,11059,364516.0,3.03
Lithuania,Billie Eilish,4561,153008.0,2.98
Malaysia,Ed Sheeran,10627,358390.0,2.97
Ecuador,Bad Bunny,10654,358384.0,2.97
Philippines,Ed Sheeran,10409,358390.0,2.9
United States,Juice WRLD,10524,364184.0,2.89
Hong Kong,Ed Sheeran,10346,358388.0,2.89
Turkey,Ezhel,10253,358190.0,2.86
Global,Ed Sheeran,10319,362182.0,2.85
Latvia,Billie Eilish,4208,151017.0,2.79
Bolivia,Bad Bunny,8703,313849.0,2.77
Costa Rica,Bad Bunny,9801,358384.0,2.73
Taiwan,G.E.M.,9781,358187.0,2.73
Denmark,Ed Sheeran,9537,358389.0,2.66
Mexico,Bad Bunny,9210,358343.0,2.57
Canada,Drake,9217,361390.0,2.55
Czech Republic,Imagine Dragons,9000,357276.0,2.52
Colombia,Bad Bunny,8939,358384.0,2.49
Finland,JVG,8866,358192.0,2.48
Thailand,BLACKPINK,7433,307759.0,2.42
Peru,Bad Bunny,8583,358182.0,2.4
Belgium,Ed Sheeran,8567,358390.0,2.39
Italy,Sfera Ebbasta,8332,358384.0,2.32
Switzerland,Ed Sheeran,8171,358716.0,2.28
Poland,Taco Hemingway,7976,358189.0,2.23
Sweden,Ed Sheeran,7942,358389.0,2.22
Indonesia,Tulus,7890,358390.0,2.2
Slovakia,DMS,5636,267614.0,2.11
Portugal,Wet Bed Gang,7526,357958.0,2.1
Greece,Billie Eilish,5574,281459.0,1.98
Norway,Ed Sheeran,6733,358186.0,1.88
Hungary,Follow The Flow,6356,344170.0,1.85
Netherlands,Ed Sheeran,6579,357982.0,1.84
Germany,Apache 207,5914,357424.0,1.65
Spain,Bad Bunny,5829,358355.0,1.63
Uruguay,Ed Sheeran,5620,351094.0,1.6
Argentina,Maluma,5673,364385.0,1.56
Austria,Ed Sheeran,5431,363925.0,1.49
